TimeGenerated,EventID,Account,TargetAccount,MemberName,IpAddress,Computer,LogonType,Activity
2026-09-01 00:23:00,4624,a.patel,,,10.10.1.11,WKSTN-09,3,4624 - An account was successfully logged on.
2026-09-01 00:33:00,4624,m.dupont,,,10.10.1.57,WKSTN-04,10,4624 - An account was successfully logged on.
2026-09-01 00:38:00,4624,e.popescu,,,10.10.1.12,WKSTN-01,2,4624 - An account was successfully logged on.
2026-09-01 00:47:00,4624,c.nguyen,,,10.10.1.42,WKSTN-01,10,4624 - An account was successfully logged on.
2026-09-01 00:56:00,4624,e.popescu,,,10.10.1.24,DC01,10,4624 - An account was successfully logged on.
2026-09-01 01:07:00,4624,j.smith,,,10.10.1.58,WKSTN-06,3,4624 - An account was successfully logged on.
2026-09-01 01:20:00,4624,r.ionescu,,,10.10.1.19,WKSTN-07,3,4624 - An account was successfully logged on.
2026-09-01 01:26:00,4624,a.patel,,,10.10.1.34,WKSTN-04,3,4624 - An account was successfully logged on.
2026-09-01 01:40:00,4624,r.ionescu,,,10.10.1.12,DC01,10,4624 - An account was successfully logged on.
2026-09-01 01:46:00,4624,e.popescu,,,10.10.1.15,WKSTN-10,10,4624 - An account was successfully logged on.
2026-09-01 02:00:00,4624,c.nguyen,,,10.10.1.55,WKSTN-03,2,4624 - An account was successfully logged on.
2026-09-01 02:24:00,4624,c.nguyen,,,10.10.1.59,WKSTN-10,2,4624 - An account was successfully logged on.
2026-09-01 02:34:00,4624,a.patel,,,10.10.1.34,WKSTN-09,3,4624 - An account was successfully logged on.
2026-09-01 02:57:00,4624,svc-backup,,,10.10.1.20,WKSTN-12,3,4624 - An account was successfully logged on.
2026-09-01 03:06:00,4624,r.ionescu,,,10.10.1.54,WKSTN-03,10,4624 - An account was successfully logged on.
2026-09-01 03:29:00,4624,m.dupont,,,10.10.1.44,WKSTN-08,3,4624 - An account was successfully logged on.
2026-09-01 03:46:00,4624,e.popescu,,,10.10.1.27,WKSTN-08,3,4624 - An account was successfully logged on.
2026-09-01 03:50:00,4624,c.nguyen,,,10.10.1.12,WKSTN-11,3,4624 - An account was successfully logged on.
2026-09-01 04:01:00,4624,a.patel,,,10.10.1.23,WKSTN-11,3,4624 - An account was successfully logged on.
2026-09-01 04:24:00,4624,l.moraru,,,10.10.1.35,DC01,3,4624 - An account was successfully logged on.
2026-09-01 04:35:00,4624,m.dupont,,,10.10.1.25,WKSTN-09,10,4624 - An account was successfully logged on.
2026-09-01 04:51:00,4624,e.popescu,,,10.10.1.33,WKSTN-08,3,4624 - An account was successfully logged on.
